"mrse" "total_patients" "n_staff" "policy" "capacity"
8 15 21 "Not implemented" 0.74
9 16 18 "Not implemented" 0.84
9 17 20 "Not implemented" 0.75
1 15 18 "Implemented" 0.78
5 15 28 "Not implemented" 0.82
5 13 27 "Not implemented" 0.72
0 16 25 "Implemented" 0.74
6 14 20 "Not implemented" 0.57
10 13 13 "Not implemented" 0.75
8 19 27 "Not implemented" 0.93
8 18 26 "Not implemented" 0.73
1 23 26 "Implemented" 0.74
6 19 26 "Not implemented" 0.49
6 16 26 "Not implemented" 0.71
10 20 20 "Not implemented" 0.78
5 16 23 "Not implemented" 0.78
0 13 25 "Implemented" 0.71
11 17 25 "Not implemented" 0.74
4 14 18 "Implemented" 0.91
0 11 23 "Implemented" 0.56
6 17 21 "Not implemented" 0.68
5 10 23 "Not implemented" 1
11 18 27 "Not implemented" 0.9
8 23 24 "Not implemented" 0.79
0 14 22 "Implemented" 0.72
6 19 15 "Not implemented" 0.72
6 18 22 "Not implemented" 0.68
5 10 27 "Not implemented" 0.86
0 15 17 "Implemented" 0.68
1 9 19 "Implemented" 0.56
5 12 22 "Not implemented" 0.85
6 18 29 "Not implemented" 0.72
5 13 23 "Not implemented" 0.55
4 12 25 "Not implemented" 0.64
8 10 15 "Not implemented" 0.66
1 13 19 "Implemented" 0.76
5 21 18 "Implemented" 0.52
6 17 28 "Not implemented" 0.9
12 19 22 "Not implemented" 0.84
4 8 23 "Not implemented" 0.71
5 14 14 "Not implemented" 0.38
7 12 18 "Not implemented" 0.75
2 16 22 "Implemented" 0.8
2 14 25 "Implemented" 0.79
3 14 17 "Implemented" 0.85
2 17 19 "Implemented" 0.73
3 9 15 "Not implemented" 0.34
2 11 26 "Not implemented" 0.81
3 11 19 "Not implemented" 0.71
